"ID";"RestaurantID";"FileName";"PictureIntro"
71;23;"f45a4e19-57f4-480c-b35b-c6b6b26eae93.jpg";"绯"
72;23;"1fabc61c-0b9d-4eaf-a6b8-5fe06e78ce6c.jpg";"绯"
73;23;"6f7bc91c-0347-43b0-a1b8-65600926ee0b.jpg";"绯"
74;24;"aa5cac4d-6831-49bc-b78e-ba1c5301d407.jpg";"威士忌吧"
75;24;"946ab879-36ce-418e-9a54-ea985920ca72.jpg";"威士忌吧"
76;25;"7e7873da-4830-42c9-b2d0-a2b26d27ef52.jpg";"大堂酒廊"
77;25;"95e02492-11fe-4dca-94b7-81069d4c511c.jpg";""
78;26;"8f310611-0227-4512-a362-9203c9f2bf60.jpg";"李奥纳多"
79;26;"3ace600c-7e61-406c-bb9e-7d906ed93d9d.jpg";"李奥纳多"
80;26;"f513e88d-88ae-45a9-b035-0661cd2adb5a.jpg";"大西洋龙虾"
81;26;"356cb5e1-a922-4ac2-8677-5ddb1efea197.jpg";"澳洲‘怀优’牛肉薄片"
82;26;"39420733-6965-48c0-81f6-638a01b4bc50.jpg";"罗西尼澳洲牛西冷排配鹅肝"
83;27;"59e36a56-e1bf-468e-b9ad-b2a2c6d90040.jpg";"连天阁"
84;27;"153f0ab9-b79b-49ad-9cc0-a61e9cd28ca7.jpg";"连天阁"
85;27;"8279c42b-60fa-43da-8f8e-262d821e2cd1.jpg";"连天阁"
86;27;"4035fbc4-f35e-4d3d-b6bf-78991df74e36.jpg";"连天阁"
87;28;"da0da732-3c07-49e6-9131-8c55a5fa431d.jpg";"天府楼"
88;28;"4364618a-5466-4c11-acba-2c0ebe9a8801.jpg";"天府楼"
89;28;"8f73cd7a-0796-4955-be69-4233b3806338.jpg";"四川担担面"
90;28;"da344ea0-ea85-48cb-bcb2-f24991e4acd3.jpg";"四川樟茶鸭"
91;29;"8912f4bd-168b-4d13-8103-659ce49fb3dd.jpg";"水上人家"
92;29;"0f42293d-6bef-4971-8fb3-c8fa37dd2eac.jpg";"宁波土鸡三吃"
93;30;"7ef384da-620f-4ef1-be05-be2740c0b00e.jpg";"吧三十九"
94;31;"8a7fdf36-f4e5-4ee9-9411-a08464a79fde.jpg";"静安廊"
95;31;"ed0b3002-e7d6-463b-9917-8ecd8d020acb.jpg";"静安廊"
96;32;"56e62143-a6f1-49bd-8a6f-89dca3f4500f.jpg";"美食角"
97;33;"44375910-ffbc-400b-b391-1629ec7a02d1.jpg";"全日制餐厅-元"
98;33;"4de83fa9-de2b-4633-92ba-5212545b5d77.jpg";""
99;34;"f33a4e46-e4fb-40b5-99c8-c6f6126164e4.jpg";"驿动大堂吧"
100;34;"7fe6d06e-05c5-44af-bcb3-6834790f71ab.jpg";""
101;35;"8ca163f3-e9bc-4fde-a6e5-678db3137a7d.jpg";"红酒吧-蔓"
102;35;"7b00c99e-d6cd-485b-a50a-ae73a4af76f3.jpg";""
103;36;"624d128c-b6d7-44d3-95bf-918c25c0c169.jpg";"卡颂美味店"
